"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CH","2022-05-04","84.0","-1.46","5.61","Whitlock, Garrett",669016,676477,,"ball",,,,,"11","Brandon Marsh called out on strikes.","R","L","R","BOS","LAA","B",,,"0","1",2022,"-1.49","0.45","-1.25","3.67",,,,"0","1","Top",,,,,"543877",,,3.5013928941656354,-122.26935641102521,1.0870166542031348,-15.60801518839395,25.493930984662853,-28.099414314222816,"3.68","1.88",,,,"85.1","2050","7.1",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.39",,,,,,,,"1","2","Changeup","0","0","0","0","0","0","0","0","Standard","Standard","265","0","0.025"
"SI","2022-05-04","94.0","-1.57","5.61","Whitlock, Garrett",669016,676477,,"swinging_strike",,,,,"11","Brandon Marsh called out on strikes.","R","L","R","BOS","LAA","S",,,"0","0",2022,"-1.35","1.03","-1.21","2.76",,,,"0","1","Top",,,,,"543877",,,4.012155006629746,-136.90508009888387,-4.032638773078727,-17.925282429568625,30.211360442585804,-18.51363164658292,"3.52","1.7",,,,"95.6","2090","7.1",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.35",,,,,,,,"1","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","236","0","-0.034"
"SI","2022-04-28","94.7","-1.76","5.78","Whitlock, Garrett",669289,676477,"field_out","hit_into_play",,,,,"13","Santiago Espinal grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","X","5","ground_ball","0","1",2022,"-1.22","1.17","-1.10","2.44",,"606132","672386","2","3","Bot",105.04,171.27,,,"543877",,,4.5077482309403,-137.68566859739778,-5.701756991668414,-16.461673090632154,32.448698944072795,-16.180237936238544,"3.39","1.62","12","93.1","-11","95.9","2161","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.31","0.186","0.188","0","1","0","0","2","26","2","Sinker","1","0","1","0","0","1","1","0","Standard","Standard","226","-0.039","-0.404"
"SI","2022-04-28","94.4","-1.66","5.74","Whitlock, Garrett",669289,676477,,"foul",,,,,"7","Santiago Espinal grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","S",,,"0","0",2022,"-1.3","1.13","-0.57","1.85",,"606132","672386","2","3","Bot",,,,,"543877",,,5.822040211901614,-137.15699520857527,-7.006350170062806,-17.68878023392645,31.467545723921834,-16.530340927711862,"3.39","1.62","3","46.2","-33","95.6","2142","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.36",,,,,,,,"26","1","Sinker","1","0","1","0","0","1","1","0","Standard","Standard","232","0","-0.06"
"SL","2022-04-28","82.5","-1.71","5.79","Whitlock, Garrett",672386,676477,"single","hit_into_play",,,,,"14","Alejandro Kirk singles on a sharp ground ball to left fielder Alex Verdugo.   Lourdes Gurriel Jr.  scores.    Raimel Tapia to 2nd.","R","R","R","TOR","BOS","X","7","ground_ball","0","2",2022,"0.25","-0.31","0.03","1.11",,"666971","606132","2","3","Bot",101.99,134.63,,,"543877",,,3.5258736394131858,-120.0467143503052,-3.493739836039091,1.672662272250887,25.701293022412916,-34.653458337266194,"3.11","1.5","100","106.2","5","83.5","2034","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.31","0.649","0.586","0.9","1","1","0","4","25","3","Slider","0","0","0","0","0","1","1","0","Standard","Standard","60","0.12","1.015"
"SI","2022-04-28","95.9","-1.67","5.67","Whitlock, Garrett",672386,676477,,"foul",,,,,"7","Alejandro Kirk singles on a sharp ground ball to left fielder Alex Verdugo.   Lourdes Gurriel Jr.  scores.    Raimel Tapia to 2nd.","R","R","R","TOR","BOS","S",,,"0","1",2022,"-1.3","1.12","-0.71","1.80",,"666971","606132","2","3","Bot",,,,,"543877",,,5.598793234030118,-139.27540782622557,-7.201107822277476,-18.227055095053533,34.39491596813421,-16.114438180842907,"3.11","1.5","4","73.8","-23","97.1","2186","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.2",,,,,,,,"25","2","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","231","0","-0.11"
"SI","2022-04-28","95.4","-1.6","5.71","Whitlock, Garrett",672386,676477,,"swinging_strike",,,,,"4","Alejandro Kirk singles on a sharp ground ball to left fielder Alex Verdugo.   Lourdes Gurriel Jr.  scores.    Raimel Tapia to 2nd.","R","R","R","TOR","BOS","S",,,"0","0",2022,"-1.55","0.97","-0.63","2.32",,"666971","606132","2","3","Bot",,,,,"543877",,,6.130280710382074,-138.61667029477053,-5.469034829362617,-21.36430840999401,33.90279207320448,-18.62960710203092,"3.11","1.5",,,,"96.4","2172","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.32",,,,,,,,"25","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","228","0","-0.06"
"SL","2022-04-28","83.0","-1.67","5.86","Whitlock, Garrett",656305,676477,"strikeout","swinging_strike_blocked",,,,,"14","Matt Chapman strikes out swinging.","R","R","R","TOR","BOS","S","2",,"1","2",2022,"-0.01","-0.04","1.79","0.32",,"666971","606132","1","3","Bot",,,,,"543877",,,8.078695035704321,-120.5489013138682,-6.178383355278324,-1.7772901921337796,24.72307564106937,-31.480489918020176,"3.4","1.64",,,,"84.2","2019","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.17",,,"0","1","0","0",,"24","4","Slider","0","0","0","0","0","0","0","0","Standard","Standard","33","-0.048","-0.359"
"SL","2022-04-28","82.1","-1.64","5.9","Whitlock, Garrett",656305,676477,,"swinging_strike",,,,,"9","Matt Chapman strikes out swinging.","R","R","R","TOR","BOS","S",,,"1","1",2022,"0.35","0.02","0.69","1.65",,"666971","606132","1","3","Bot",,,,,"543877",,,4.681225216318575,-119.5050282096052,-3.1312868054692835,2.4235678480786187,24.01883783683667,-31.58659683895379,"3.4","1.64",,,,"83.4","1964","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.24",,,,,,,,"24","3","Slider","0","0","0","0","0","0","0","0","Standard","Standard","44","0","-0.074"
"SL","2022-04-28","82.4","-1.73","5.87","Whitlock, Garrett",656305,676477,,"swinging_strike",,,,,"14","Matt Chapman strikes out swinging.","R","R","R","TOR","BOS","S",,,"1","0",2022,"0.01","0.02","1.26","1.94",,"666971","606132","1","3","Bot",,,,,"543877",,,6.86143084639497,-119.81496875691234,-2.4254125291927675,-1.2878186913379799,24.281265954122418,-31.69336569261618,"3.4","1.64",,,,"83.4","2000","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.41",,,,,,,,"24","2","Slider","0","0","0","0","0","0","0","0","Standard","Standard","48","0","-0.094"
"SI","2022-04-28","93.9","-1.65","5.72","Whitlock, Garrett",656305,676477,,"ball",,,,,"6","Matt Chapman strikes out swinging.","R","R","R","TOR","BOS","B",,,"0","0",2022,"-1.42","1.25","0.42","2.33",,"666971","606132","1","3","Bot",,,,,"543877",,,8.666477232303976,-136.3623013193686,-5.886565655741019,-19.653132137017888,31.26683738914436,-15.44434932531747,"3.5","1.68",,,,"95.4","2148","7.4",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.11",,,,,,,,"24","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","230","0","0.047"
"SI","2022-04-28","94.6","-1.65","5.83","Whitlock, Garrett",606132,676477,"walk","ball",,,,,"9","Raimel Tapia walks.   Lourdes Gurriel Jr.  to 2nd.","R","L","R","TOR","BOS","B",,,"3","2",2022,"-1.41","1.42","0.79","2.12",,,"666971","1","3","Bot",,,,,"543877",,,9.698461164020932,-137.29990482750256,-7.228155198063691,-20.077885646622384,31.9087532051877,-12.76863685781707,"3.33","1.65",,,,"95.9","2189","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.2",,,"0.7","1","0","0",,"23","6","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","225","0.039","0.352"
"CH","2022-04-28","85.3","-1.55","5.95","Whitlock, Garrett",606132,676477,,"blocked_ball",,,,,"13","Raimel Tapia walks.   Lourdes Gurriel Jr.  to 2nd.","R","L","R","TOR","BOS","B",,,"2","2",2022,"-1.8","0.38","-0.26","-0.15",,,"666971","1","3","Bot",,,,,"543877",,,6.794650986939382,-123.73310296226879,-8.83016365320163,-19.834049385180816,28.10790595196126,-26.4609970345309,"3.37","1.68",,,,"86.2","2243","7.4",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.14",,,,,,,,"23","5","Changeup","0","0","0","0","0","0","0","0","Standard","Standard","260","0","0.095"
"SI","2022-04-28","96.0","-1.47","5.78","Whitlock, Garrett",606132,676477,,"foul",,,,,"3","Raimel Tapia walks.   Lourdes Gurriel Jr.  to 2nd.","R","L","R","TOR","BOS","S",,,"2","1",2022,"-1.06","1.29","0.50","3.18",,,"666971","1","3","Bot",,,,,"543877",,,7.766632115214289,-139.45405217176668,-4.235760953196913,-15.671392639131513,33.18739686915002,-14.635889245747792,"3.28","1.57","183","77.4","17","97.4","2233","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.22",,,,,,,,"23","4","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","231","0","-0.089"
"SI","2022-04-28","95.7","-1.6","5.79","Whitlock, Garrett",606132,676477,,"foul",,,,,"1","Raimel Tapia walks.   Lourdes Gurriel Jr.  to 2nd.","R","L","R","TOR","BOS","S",,,"2","0",2022,"-1.2","1.32","-0.83","2.83",,,"666971","1","3","Bot",,,,,"543877",,,4.835494418187899,-139.26338697760096,-5.235595085144466,-16.727100255600178,32.12484250038321,-14.074368729765201,"3.28","1.57","21","99.8","-6","97.1","2166","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.34",,,,,,,,"23","3","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","230","0","-0.07"
"SI","2022-04-28","95.8","-1.68","5.84","Whitlock, Garrett",606132,676477,,"ball",,,,,"13","Raimel Tapia walks.   Lourdes Gurriel Jr.  to 2nd.","R","L","R","TOR","BOS","B",,,"1","0",2022,"-1.58","1.27","-0.54","1.44",,,"666971","1","3","Bot",,,,,"543877",,,6.684916984475014,-139.11856317277392,-8.939252904967816,-22.0740280540315,31.52323550017839,-13.882799874820641,"3.45","1.76",,,,"96.9","2125","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.44",,,,,,,,"23","2","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","229","0","0.094"
"SI","2022-04-28","95.4","-1.5","5.71","Whitlock, Garrett",606132,676477,,"ball",,,,,"14","Raimel Tapia walks.   Lourdes Gurriel Jr.  to 2nd.","R","L","R","TOR","BOS","B",,,"0","0",2022,"-1.42","1.24","1.19","0.89",,,"666971","1","3","Bot",,,,,"543877",,,10.409612276545323,-138.24464714076302,-9.909667624093219,-20.539776131327645,32.13278019846937,-14.156970187906374,"3.45","1.71",,,,"96.6","2207","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.22",,,,,,,,"23","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","227","0","0.039"
"SI","2022-04-28","95.9","-1.62","5.65","Whitlock, Garrett",666971,676477,"field_error","hit_into_play",,,,,"13","Lourdes Gurriel Jr.  reaches on a fielding error by shortstop Christian Arroyo.","R","R","R","TOR","BOS","X","6","ground_ball","1","1",2022,"-1.35","0.94","-0.94","1.54",,,,"1","3","Bot",93.96,134.44,,,"543877",,,4.91898254041329,-139.46015321401282,-7.442939427458441,-18.67172992971811,33.33493407975223,-18.429610340859472,"3.49","1.64","7","89.4","-12","97.3","2099","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.26","0.157","0.141","0.9","1","0","0","2","22","3","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","227","0.028","0.308"
"SL","2022-04-28","82.6","-1.4","5.71","Whitlock, Garrett",666971,676477,,"ball",,,,,"14","Lourdes Gurriel Jr.  reaches on a fielding error by shortstop Christian Arroyo.","R","R","R","TOR","BOS","B",,,"0","1",2022,"0.11","-0.23","0.95","1.33",,,,"1","3","Bot",,,,,"543877",,,5.2241918243971135,-120.12615924093714,-3.04270272420127,0.039255727778525124,24.31299343864609,-33.95562635861143,"3.59","1.62",,,,"83.7","1820","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.38",,,,,,,,"22","2","Slider","0","0","0","0","0","0","0","0","Standard","Standard","60","0","0.015"
"SI","2022-04-28","95.5","-1.92","5.65","Whitlock, Garrett",666971,676477,,"called_strike",,,,,"4","Lourdes Gurriel Jr.  reaches on a fielding error by shortstop Christian Arroyo.","R","R","R","TOR","BOS","S",,,"0","0",2022,"-1.19","0.94","-0.40","2.86",,,,"1","3","Bot",,,,,"543877",,,6.8080926458210635,-138.78679939103841,-3.8545593700276113,-16.94423082693895,33.5436453924411,-19.377675466656093,"3.59","1.68",,,,"96.9","2143","7.4",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.14",,,,,,,,"22","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","233","0","-0.024"
"SL","2022-04-28","83.6","-1.56","5.88","Whitlock, Garrett",666182,676477,"field_out","hit_into_play",,,,,"4","Bo Bichette grounds out, shortstop Christian Arroyo to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","X","6","ground_ball","1","2",2022,"-0.01","-0.48","-0.52","2.64",,,,"0","3","Bot",120.28,163.13,,,"543877",,,2.4435937132788363,-121.68317922762331,-0.038816144937204866,-0.5840014355109205,25.82261795713085,-37.11115522888108,"3.55","1.67","6","99.2","-21","84.5","1882","7",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.46","0.186","0.171","0","1","0","0","2","21","4","Slider","0","0","0","0","0","0","0","0","Standard","Standard","44","-0.025","-0.159"
"SL","2022-04-28","83.5","-1.3","5.84","Whitlock, Garrett",666182,676477,,"ball",,,,,"14","Bo Bichette grounds out, shortstop Christian Arroyo to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","B",,,"0","2",2022,"0.04","-0.48","1.58","1.32",,,,"0","3","Bot",,,,,"543877",,,6.691218248150867,-121.44103439311458,-3.034489701366879,-0.9343901762949911,24.939973546959532,-36.51063441605471,"3.72","1.71",,,,"85.2","1948","7.5",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","52.99",,,,,,,,"21","3","Slider","0","0","0","0","0","0","0","0","Standard","Standard","43","0","0.018"
"SI","2022-04-28","95.4","-1.39","5.73","Whitlock, Garrett",666182,676477,,"swinging_strike",,,,,"5","Bo Bichette grounds out, shortstop Christian Arroyo to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","S",,,"0","1",2022,"-1.22","1.22","-0.14","2.55",,,,"0","3","Bot",,,,,"543877",,,6.142462483557823,-138.66657789068836,-5.545543792115837,-17.094849031967073,32.85113165438904,-15.334779090819652,"3.55","1.67",,,,"96.8","2168","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.24",,,,,,,,"21","2","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","229","0","-0.046"
"CH","2022-04-28","81.8","-1.36","5.99","Whitlock, Garrett",666182,676477,,"swinging_strike",,,,,"13","Bo Bichette grounds out, shortstop Christian Arroyo to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","S",,,"0","0",2022,"-1.41","0.07","-0.91","1.63",,,,"0","3","Bot",,,,,"543877",,,3.802424430671411,-119.069930302441,-3.3877902044415644,-14.137641943834394,25.086630204446884,-31.012096053447653,"3.55","1.67",,,,"82.7","2049","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.43",,,,,,,,"21","1","Changeup","0","0","0","0","0","0","0","0","Standard","Standard","258","0","-0.034"
"SI","2022-04-28","95.0","-1.68","5.71","Whitlock, Garrett",543807,676477,"field_out","hit_into_play",,,,,"4","George Springer pops out to second baseman Trevor Story.","R","R","R","TOR","BOS","X","4","popup","1","1",2022,"-1.33","1.21","-0.67","2.64","669289",,"605548","2","2","Bot",142.63,167.71,,,"543877",,,5.711219125180792,-138.21849142895397,-5.156654984521228,-18.309251492224913,32.17259060143307,-15.713621003471895,"3.48","1.61","123","89.4","66","96.2","2083","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.39","0.014","0.015","0","1","0","0","3","17","3","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","233","-0.051","-0.493"
"SL","2022-04-28","82.8","-1.73","5.8","Whitlock, Garrett",543807,676477,,"foul",,,,,"6","George Springer pops out to second baseman Trevor Story.","R","R","R","TOR","BOS","S",,,"1","0",2022,"0.02","-0.24","0.30","2.37","669289",,"605548","2","2","Bot",,,,,"543877",,,4.6885761521479195,-120.51194169316457,-0.8121918160528109,-0.7764796770385338,24.677746290080073,-34.58236510109767,"3.48","1.61","175","63.8","46","84","1980","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.3",,,,,,,,"17","2","Slider","0","0","0","0","0","0","0","0","Standard","Standard","65","0","-0.066"
"SI","2022-04-28","95.4","-1.47","5.69","Whitlock, Garrett",543807,676477,,"ball",,,,,"14","George Springer pops out to second baseman Trevor Story.","R","R","R","TOR","BOS","B",,,"0","0",2022,"-1.35","1.23","1.07","1.92","669289",,"605548","2","2","Bot",,,,,"543877",,,9.899462307960295,-138.42163558116545,-7.102728704518948,-19.649128843883865,32.601421129580686,-14.933505834899112,"3.56","1.68",,,,"96.7","2157","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.17",,,,,,,,"17","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","227","0","0.055"
"SI","2022-04-28","95.2","-1.84","5.73","Whitlock, Garrett",605548,676477,"force_out","hit_into_play",,,,,"8","Bradley Zimmer grounds into a force out, second baseman Trevor Story to shortstop Christian Arroyo.   Santiago Espinal to 3rd.    Gosuke Katoh out at 2nd.    Bradley Zimmer to 1st.","R","L","R","TOR","BOS","X","4","ground_ball","0","1",2022,"-1.57","1.06","0.07","2.28",,"669289","641741","1","2","Bot",143.14,163.64,,,"543877",,,8.713768806659647,-138.24928695668777,-5.865501367005517,-22.083199949875247,31.707252757983202,-17.43623369653703,"3.57","1.74","7","103.0","-18","96.8","2153","7.4",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.14","0.231","0.212","0","1","0","0","2","16","2","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","238","-0.039","-0.562"
"CH","2022-04-28","83.6","-1.39","5.96","Whitlock, Garrett",605548,676477,,"swinging_strike",,,,,"14","Bradley Zimmer grounds into a force out, second baseman Trevor Story to shortstop Christian Arroyo.   Santiago Espinal to 3rd.    Gosuke Katoh out at 2nd.    Bradley Zimmer to 1st.","R","L","R","TOR","BOS","S",,,"0","0",2022,"-1.71","0.37","0.35","1.62",,"669289","641741","1","2","Bot",,,,,"543877",,,7.528893179469438,-121.50850185705977,-4.341219613199055,-18.436726007937313,25.029730701520073,-27.815686578573846,"3.57","1.74",,,,"84.8","2064","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.23",,,,,,,,"16","1","Changeup","0","0","0","0","0","0","0","0","Standard","Standard","255","0","-0.072"
"SI","2022-04-28","95.6","-1.49","5.81","Whitlock, Garrett",641741,676477,"walk","ball",,,,,"3","Gosuke Katoh walks.","R","L","R","TOR","BOS","B",,,"3","0",2022,"-1.49","1.12","0.76","3.31",,"669289",,"1","2","Bot",,,,,"543877",,,9.440052902232424,-138.8681854891498,-3.5063177493526094,-21.37764190191194,31.91320686960468,-17.086091945613664,"3.36","1.59",,,,"96.9","2098","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.32",,,"0.7","1","0","0",,"15","4","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","228","0.019","0.123"
"SI","2022-04-28","94.8","-1.62","5.74","Whitlock, Garrett",641741,676477,,"ball",,,,,"11","Gosuke Katoh walks.","R","L","R","TOR","BOS","B",,,"2","0",2022,"-1.52","1.14","-1.59","2.84",,,"669289","1","2","Bot",,,,,"543877",,,3.5318664036339538,-137.92850668944266,-4.487674158075984,-20.153611337570954,31.83832218093369,-16.871911988421175,"3.31","1.57",,,,"96","2096","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.42",,,,,,,,"15","3","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","234","0.018","0.128"
"SI","2022-04-28","95.3","-1.69","5.74","Whitlock, Garrett",641741,676477,,"ball",,,,,"11","Gosuke Katoh walks.","R","L","R","TOR","BOS","B",,,"1","0",2022,"-1.67","1.02","-1.17","3.21",,,"669289","1","2","Bot",,,,,"543877",,,5.224962050869316,-138.6370221198273,-3.3299950361234174,-22.738252824059337,32.07277738428219,-18.467381672913355,"3.29","1.62",,,,"96.8","2077","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.26",,,,,,,,"15","2","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","227","0","0.094"
"SI","2022-04-28","94.3","-1.66","5.66","Whitlock, Garrett",641741,676477,,"ball",,,,,"11","Gosuke Katoh walks.","R","L","R","TOR","BOS","B",,,"0","0",2022,"-1.67","0.75","-1.23","2.63",,,"669289","1","2","Bot",,,,,"543877",,,4.941600924946657,-137.17113178995302,-3.867890181957476,-22.209360062654333,31.562074439970598,-22.106207226005058,"3.34","1.62",,,,"95.8","2067","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.23",,,,,,,,"15","1","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","230","0","0.039"
"SI","2022-04-28","97.3","-1.63","5.63","Whitlock, Garrett",669289,676477,"single","hit_into_play",,,,,"5","Santiago Espinal singles on a ground ball to right fielder Jackie Bradley Jr.","R","R","R","TOR","BOS","X","9","ground_ball","1","2",2022,"-1.55","0.99","0.14","2.25",,,,"1","2","Bot",178.31,131.51,,,"543877",,,8.4655654872251,-141.2820029658765,-5.848167227665662,-22.709940704579157,33.898156867410584,-17.757530089776015,"3.39","1.62","11","104.1","-11","98.8","2066","7.4",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.14","0.289","0.278","0.9","1","1","0","2","14","5","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","229","0.026","0.314"
"SL","2022-04-28","83.9","-1.63","5.86","Whitlock, Garrett",669289,676477,,"ball",,,,,"14","Santiago Espinal singles on a ground ball to right fielder Jackie Bradley Jr.","R","R","R","TOR","BOS","B",,,"0","2",2022,"-0.08","-0.63","0.95","1.21",,,,"1","2","Bot",,,,,"543877",,,6.214534381305176,-121.98647003128207,-3.113356588833072,-2.0219950851959,24.509178274837428,-38.042348026671895,"3.48","1.71",,,,"85","1956","7.1",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.39",,,,,,,,"14","4","Slider","0","0","0","0","0","0","0","0","Standard","Standard","28","0","0.011"
"SL","2022-04-28","83.5","-1.79","5.9","Whitlock, Garrett",669289,676477,,"foul",,,,,"8","Santiago Espinal singles on a ground ball to right fielder Jackie Bradley Jr.","R","R","R","TOR","BOS","S",,,"0","2",2022,"-0.07","-0.43","0.16","1.91",,,,"1","2","Bot",,,,,"543877",,,4.702289773586861,-121.4375256890116,-1.8198918274022169,-1.7605524654754077,26.78078344657609,-36.24658110543118,"3.39","1.62","1","50.5","-52","84.1","1979","7",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.51",,,,,,,,"14","3","Slider","0","0","0","0","0","0","0","0","Standard","Standard","30","0","0"
"SI","2022-04-28","95.1","-1.7","5.68","Whitlock, Garrett",669289,676477,,"foul",,,,,"4","Santiago Espinal singles on a ground ball to right fielder Jackie Bradley Jr.","R","R","R","TOR","BOS","S",,,"0","1",2022,"-1.35","1.3","-0.77","2.56",,,,"1","2","Bot",,,,,"543877",,,5.565949493793551,-138.26884127176572,-5.491555559908246,-18.538419554292492,32.88446731096305,-14.45381127008025,"3.39","1.62","141","63.2","20","96.5","2275","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.21",,,,,,,,"14","2","Sinker","0","0","0","0","0","0","0","0","Strategic","Standard","236","0","-0.033"
"SI","2022-04-28","94.8","-1.58","5.66","Whitlock, Garrett",669289,676477,,"foul",,,,,"3","Santiago Espinal singles on a ground ball to right fielder Jackie Bradley Jr.","R","R","R","TOR","BOS","S",,,"0","0",2022,"-1.31","1.15","0.30","3.09",,,,"1","2","Bot",,,,,"543877",,,8.016654303516987,-137.7394547558107,-3.643447005709808,-18.471160995357273,32.32987199338638,-16.967264489305887,"3.39","1.62","235","75.3","30","96.4","2202","7.4",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.06",,,,,,,,"14","1","Sinker","0","0","0","0","0","0","0","0","Strategic","Standard","234","0","-0.024"
"SI","2022-04-28","95.9","-1.68","5.63","Whitlock, Garrett",672386,676477,"field_out","hit_into_play",,,,,"11","Alejandro Kirk grounds out to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","X","3","ground_ball","1","2",2022,"-1.45","0.85","-1.10","2.38",,,,"0","2","Bot",150.7,168.87,,,"543877",,,4.914393595109175,-139.4748243556958,-4.931253743706878,-20.069029092921994,33.17933437339014,-20.203640858147466,"3.11","1.5","46","44.3","8","97.2","2154","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.29","0.177","0.17","0","1","0","0","1","13","6","Sinker","0","0","0","0","0","0","0","0","Standard","Standard","233","-0.023","-0.159"
"SL","2022-04-28","83.3","-1.48","5.87","Whitlock, Garrett",672386,676477,,"ball",,,,,"14","Alejandro Kirk grounds out to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","B",,,"0","2",2022,"-0.01","-0.47","0.77","1.26",,,,"0","2","Bot",,,,,"543877",,,5.264759311975118,-121.2038802332327,-3.206651825111762,-1.164554394267059,25.38854225942631,-36.29945607904421,"3.21","1.54",,,,"84.5","2032","7.3",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.24",,,,,,,,"13","5","Slider","0","0","0","0","0","0","0","0","Standard","Standard","40","0","0.018"
"SL","2022-04-28","84.0","-1.66","5.86","Whitlock, Garrett",672386,676477,,"foul",,,,,"2","Alejandro Kirk grounds out to first baseman Bobby Dalbec.","R","R","R","TOR","BOS","S",,,"0","2",2022,"0.13","-0.42","0.21","3.12",,,,"0","2","Bot",,,,,"543877",,,4.140038432461581,-122.15998545550079,1.0359079417588393,0.3591549485064875,27.862001512564472,-36.86691412996628,"3.11","1.5","220","93.7","12","84.8","1744","7.2",661827,676477,"543877","666915","596115","646240","624414","657077","571771","598265","53.3",,,,,,,,"13","4","Slider","0","0","0","0","0","0","0","0","Standard","Standard","51","0","0"
