"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-05-04","93.8","-1.12","5.77","Whitlock, Garrett",665120,676477,,"foul",,,,,"6","Jared Walsh doubles (3) on a sharp fly ball to center fielder Enrique Hernandez.","R","L","R","BOS","LAA","S",,,"3","1",2022,"-1.36","1.12","0.38","2.81",,,,"1","5","Top",,,,,"543877",,,7.021721116055186,-136.4615007742081,-4.4862931171267615,-18.532505706022555,29.86058213016452,-17.31414105399649,"3.52","1.66","200","72.9","39","95.3","2021","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.33",,,,,,,,"30","5","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","220","0","-0.062"
"SI","2022-05-04","92.6","-1.32","5.81","Whitlock, Garrett",665120,676477,,"called_strike",,,,,"5","Jared Walsh doubles (3) on a sharp fly ball to center fielder Enrique Hernandez.","R","L","R","BOS","LAA","S",,,"3","0",2022,"-1.37","1.03","0.16","2.54",,,,"1","5","Top",,,,,"543877",,,6.901579566914343,-134.67787130901624,-4.870178955705971,-18.228290256325952,28.682652483932806,-18.801306008776216,"3.66","1.82",,,,"94.2","1953","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.27",,,,,,,,"30","4","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","227","0","-0.055"
"SI","2022-05-04","94.2","-1.2","5.84","Whitlock, Garrett",665120,676477,,"ball",,,,,"13","Jared Walsh doubles (3) on a sharp fly ball to center fielder Enrique Hernandez.","R","L","R","BOS","LAA","B",,,"2","0",2022,"-1.06","1.1","-0.30","1.32",,,,"1","5","Top",,,,,"543877",,,4.793572876213231,-136.80130540774817,-8.566944746394109,-14.41169298183082,31.577260802565426,-16.586674964779995,"3.57","1.64",,,,"95.5","2016","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.22",,,,,,,,"30","3","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","223","0","0.092"
"CH","2022-05-04","83.3","-1.23","5.88","Whitlock, Garrett",665120,676477,,"ball",,,,,"14","Jared Walsh doubles (3) on a sharp fly ball to center fielder Enrique Hernandez.","R","L","R","BOS","LAA","B",,,"1","0",2022,"-1.71","0.53","1.12","1.71",,,,"1","5","Top",,,,,"543877",,,8.896326538659302,-120.81271840901343,-4.080907014924932,-18.551050249994343,26.61014833089674,-26.369269480579398,"3.69","1.73",,,,"83.9","1951","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.32",,,,,,,,"30","2","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","245","0","0.049"
"CH","2022-05-04","82.0","-1.13","5.99","Whitlock, Garrett",665120,676477,,"ball",,,,,"13","Jared Walsh doubles (3) on a sharp fly ball to center fielder Enrique Hernandez.","R","L","R","BOS","LAA","B",,,"0","0",2022,"-1.63","0.36","-1.07","2.56",,,,"1","5","Top",,,,,"543877",,,3.3774700417542762,-119.31731085113313,-1.850310059710118,-16.209967744885585,25.540565876777066,-28.56813372212394,"3.6","1.7",,,,"83.1","1826","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.23",,,,,,,,"30","1","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","246","0","0.022"
"SL","2022-05-04","82.4","-1.3","5.81","Whitlock, Garrett",543685,676477,"field_out","hit_into_play",,,,,"5","Anthony Rendon grounds out softly, pitcher Garrett Whitlock to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","X","1","ground_ball","0","2",2022,"-0.05","-0.36","0.19","2.23",,,,"0","5","Top",128.21,191.21,,,"543877",,,3.5494916269834764,-119.92915265549402,-0.8862008623119292,-1.2274164306957869,24.316443700728076,-35.63773770560081,"3.29","1.59",,,,"83.6","1680","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.34",,,"0",,"0","0",,"29","3","Slider","2","0","0","2","0","2","0","2","Standard","Standard","29","0.028","-0.141"
"SI","2022-05-04","93.6","-1.43","5.76","Whitlock, Garrett",543685,676477,,"foul",,,,,"13","Anthony Rendon grounds out softly, pitcher Garrett Whitlock to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","S",,,"0","1",2022,"-1.43","1.27","-0.89","2.31",,,,"0","5","Top",,,,,"543877",,,4.643292640114669,-136.1256168235904,-6.074920703350196,-18.763725396899705,29.619998357494726,-15.23783350378661,"3.29","1.59","4","90.3","-32","95.4","2018","7.3",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.16",,,,,,,,"29","2","Sinker","2","0","0","2","0","2","0","2","Strategic","Standard","228","0","-0.046"
"CH","2022-05-04","81.9","-1.17","6.01","Whitlock, Garrett",543685,676477,,"called_strike",,,,,"1","Anthony Rendon grounds out softly, pitcher Garrett Whitlock to first baseman Bobby Dalbec.","R","R","R","BOS","LAA","S",,,"0","0",2022,"-1.56","0.75","-0.68","3.00",,,,"0","5","Top",,,,,"543877",,,4.187926762833055,-119.2289395824286,-1.6942987006429653,-15.632351453004555,23.92616488013656,-24.895838665403705,"3.31","1.67",,,,"83.1","1859","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.31",,,,,,,,"29","1","Changeup","2","0","0","2","0","2","0","2","Strategic","Standard","245","0","-0.034"
"CH","2022-05-04","84.6","-1.28","5.87","Whitlock, Garrett",660271,676477,"field_out","hit_into_play",,,,,"7","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","X","4","ground_ball","3","2",2022,"-1.66","0.87","-0.64","2.17",,,,"2","4","Top",166.39,151.82,,,"543877",,,4.891448582703529,-122.94845919327092,-3.981501820425659,-17.805576698188936,27.272942694088552,-22.755255050282585,"3.5","1.62","8","88.2","-16","85.5","2121","7.2",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.31","0.14","0.126","0","1","0","0","2","25","8","Changeup","2","0","0","2","0","2","0","2","Infield shift","Standard","248","0.011","-0.104"
"SI","2022-05-04","95.0","-1.31","5.69","Whitlock, Garrett",660271,676477,,"foul",,,,,"6","Shohei Ohtani grounds out, second baseman Trevor Story to first baseman Bobby Dalbec.","R","L","R","BOS","LAA","S",,,"3","2",2022,"-1.36","1","0.37","2.55",,,,"2","4","Top",,,,,"543877",,,7.576439555041983,-138.1306385404017,-4.941457097461377,-19.026823337329137,28.76023085457198,-18.39572630499903,"3.5","1.62","225","77.3","34","97.1","1991","7.4",663248,676477,"543877","666915","596115","646240","593428","657077","571771","624414","53.15",,,,,,,,"25","7","Sinker","2","0","0","2","0","2","0","2","Infield shift","Standard","224","0","0"
